id,alcance,categoria,uso,recurso,pais,anio,unidad,kg_co2_por_unidad,kg_ch4_por_unidad,kg_n2o_por_unidad,kg_co2e_por_unidad,set_pcg,calidad,fuente,url,licencia,verificado_el,notas
cl-elec-2018,2,,electricidad,electricidad,CL,2018,kWh,,,,0.4187,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Factor del Sistema Electrico Nacional. No incluye perdidas de transmision y distribucion.
cl-elec-2019,2,,electricidad,electricidad,CL,2019,kWh,,,,0.4056,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Factor del Sistema Electrico Nacional. No incluye perdidas.
cl-elec-2020,2,,electricidad,electricidad,CL,2020,kWh,,,,0.3834,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Factor del Sistema Electrico Nacional. No incluye perdidas.
cl-elec-2021,2,,electricidad,electricidad,CL,2021,kWh,,,,0.41994,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Valor revisado retroactivamente en la base 2025. No incluye perdidas.
cl-elec-2022,2,,electricidad,electricidad,CL,2022,kWh,,,,0.32736,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Valor revisado retroactivamente en la base 2025. No incluye perdidas.
cl-elec-2023,2,,electricidad,electricidad,CL,2023,kWh,,,,0.25587,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Valor revisado retroactivamente en la base 2025. No incluye perdidas.
cl-elec-2024,2,,electricidad,electricidad,CL,2024,kWh,,,,0.21314,AR5,alta,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Factor del SEN 2024. No incluye perdidas de transmision y distribucion.
cl-elec-2025,2,,electricidad,electricidad,CL,2025,kWh,,,,0.24672,AR5,media,HuellaChile (MMA) - Ministerio de Energia,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Promedio de los meses disponibles del ano segun la propia base. Puede ajustarse retroactivamente.
cl-diesel-est,1,,estacionaria,diesel,CL,2025,L,,,,2.71453325744664,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 2.4,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Petroleo 2 (diesel) en calderas y generadores. Incluye CO2 CH4 y N2O.
cl-diesel-mov,1,,movil,diesel,CL,2025,L,,,,2.7401603392865517,AR5,alta,HuellaChile (MMA) - base IPCC 2006 Cuadro 3.2.1 y 3.2.2,https://huellachile.mma.gob.cl/wp-content/uploads/2026/05/HuellaChile-Factores-de-emision2025_-Org-y-Ev_v2-Version-completa.xlsx,Uso publico con atribucion,2026-09-15,Diesel de vehiculos y maquinaria movil.
